Date          AAPL      MSFT       GOOG
8/19/2014   100.53  45.78787879     522.7956989
8/18/2014   99.16   45.56565657     517.0967742
8/15/2014   97.98   45.24242424     511.7204301
8/14/2014   97.5    44.71717172     508.1362007
8/13/2014   97.24   44.52525253     506.5232975
8/12/2014   95.97   43.95959596     499.9641577
8/11/2014   95.99   43.63636364     498.8888889
8/8/2014    94.74   43.63636364     494.4086022
8/7/2014    94.48   43.66666667     493.5842294
8/6/2014    94.96   43.17171717     493.5483871
